date,hospital_COVID_confirmed,hospital_COVID_suspected,hospital_COVID_total,ICU_COVID_suspected,ICU_COVID_confirmed,ICU_COVID_total
2020-03-18,NA,NA,149,NA,NA,6
2020-03-19,NA,NA,213,NA,NA,11
2020-03-20,NA,NA,247,NA,NA,16
2020-03-21,NA,NA,244,NA,NA,20
2020-03-22,NA,NA,285,NA,NA,23
2020-03-23,NA,NA,329,NA,NA,30
2020-03-24,NA,NA,441,NA,NA,42
2020-03-25,NA,NA,482,NA,NA,52
2020-03-26,NA,NA,575,NA,NA,57
2020-03-27,404,268,672,10,62,72
2020-03-28,511,271,782,7,74,81
2020-03-29,565,294,859,10,85,95
2020-03-30,627,297,924,14,94,108
2020-03-31,752,321,1073,12,123,135
2020-04-01,815,338,1153,10,137,147
2020-04-02,910,367,1277,18,144,162
2020-04-03,1037,323,1360,9,167,176
2020-04-04,1107,376,1483,8,184,192
2020-04-05,1204,386,1590,14,183,197
2020-04-06,1262,384,1646,9,190,199
2020-04-07,1328,405,1733,14,185,199
2020-04-08,1415,356,1771,17,193,210
2020-04-09,1440,341,1781,12,200,212
2020-04-10,1461,371,1832,10,197,207
2020-04-11,1467,388,1855,10,202,212
2020-04-12,1487,268,1755,13,208,221
2020-04-13,1482,315,1797,8,203,211
2020-04-14,1514,287,1801,4,192,196
2020-04-15,1486,261,1747,4,191,195
2020-04-16,1479,318,1797,5,191,196
2020-04-17,1487,312,1799,5,184,189
2020-04-18,1501,292,1793,4,178,182
2020-04-19,1520,277,1797,4,170,174
2020-04-20,1520,289,1809,2,167,169
2020-04-21,1472,394,1866,7,159,166
2020-04-22,1432,344,1776,8,147,155
2020-04-23,1423,325,1748,12,136,148
2020-04-24,1383,327,1710,5,136,141
2020-04-25,1385,363,1748,9,131,140
2020-04-26,1382,353,1735,7,126,133
2020-04-27,1387,375,1762,13,121,134
2020-04-28,1359,395,1754,12,114,126
2020-04-29,1363,364,1727,11,103,114
2020-04-30,1324,424,1748,8,101,109
2020-05-01,1302,439,1741,10,100,110
2020-05-02,1277,397,1674,11,97,108
2020-05-03,1266,400,1666,8,91,99
2020-05-04,1279,441,1720,8,91,99
2020-05-05,1225,431,1656,14,90,104
2020-05-06,1204,428,1632,10,79,89
2020-05-07,1199,388,1587,7,79,86
2020-05-08,1168,416,1584,9,75,84
2020-05-09,1159,418,1577,17,76,93
2020-05-10,1132,352,1484,7,75,82
2020-05-11,1145,308,1453,8,72,80
2020-05-12,1131,487,1618,12,69,81
2020-05-13,1101,433,1534,2,64,66
2020-05-14,1100,380,1480,10,61,71
2020-05-15,1066,383,1449,18,53,71
2020-05-16,1011,405,1416,10,49,59
2020-05-17,1007,301,1308,13,46,59
2020-05-18,1005,422,1427,17,46,63
2020-05-19,969,478,1447,12,47,59
2020-05-20,943,500,1443,9,44,53
2020-05-21,909,409,1318,8,43,51
2020-05-22,874,383,1257,12,38,50
2020-05-23,841,464,1305,14,36,50
2020-05-24,845,484,1329,11,33,44
2020-05-25,849,420,1269,11,29,40
2020-05-26,833,367,1200,8,27,35
2020-05-27,810,437,1247,10,28,38
2020-05-28,797,441,1238,11,26,37
2020-05-29,769,447,1216,15,25,40
2020-05-30,736,379,1115,8,25,33
2020-05-31,733,341,1074,7,20,27
2020-06-01,736,311,1047,7,20,27
2020-06-02,714,456,1170,14,20,34
2020-06-03,708,411,1119,14,20,34
2020-06-04,691,336,1027,10,18,28
2020-06-05,682,319,1001,7,16,23
2020-06-06,652,373,1025,4,16,20
2020-06-07,652,356,1008,9,16,25
2020-06-08,660,387,1047,8,16,24
2020-06-09,647,370,1017,6,15,21
2020-06-10,628,364,992,3,15,18
2020-06-11,610,296,906,6,15,21
2020-06-12,590,324,914,8,15,23
2020-06-13,582,401,983,7,13,20
2020-06-14,575,389,964,4,11,15
2020-06-15,578,292,870,6,12,18
2020-06-16,567,419,986,8,11,19
2020-06-17,553,412,965,13,11,24
2020-06-18,547,382,929,14,9,23
2020-06-19,528,376,904,10,9,19
