data_zone,intermediate_zone,council_area,total_population,working_age_population,income_dep_pct,income_dep,employ_dep_pct,employ_dep,cif,alcohol,drug,smr,depress_pct,lbwt_pct,emerg,attendance_pct,attainment_score,no_qual_ratio_std,not_participating_pct,university_pct,petrol_ave_drive_mins,gp_ave_drive_mins,drive_post,prim_sch_ave_drive_mins,drive_retail,sec_sch_ave_drive_mins,gp_ave_pub_trans_mins,pt_post,shopping_ave_pub_trans_mins,bband_pct,crime_count,crime_pct,overcrowd,nocentralheat,overcrowded_pct,nocentralheat_pct
S01006506,Culter,Aberdeen City,894,580,0.08,71,0.08,49,65,28.72818263,30.36572824,69.55405294,13.154961000000002,0,74.21743469,85.207,5.8823529412,52.75863102999999,0,29.729699999999998,2.540103211,3.074294725,1.616238532,2.615747423,1.544260321,9.930833333,8.86358945,5.856135321,6.023405963,10.5050505,11.139188173390128,12459.94202840059,87,10,10.2112676,1.1737088999999998
S01006507,Culter,Aberdeen City,793,470,0.05,43,0.05,25,45,129.9210165,126.4336837,80.57479222,14.2503098,0,86.08167681,84.746,5.9615384615,95.85408107,1.7699115,11.7188,3.91507177,4.309811603,2.555858254,3.64669697,2.8496561,11.04281609,9.978271531,7.515,7.926028708,1.3586957,10.126534703081935,12769.905048022616,85,4,10.1674641,0.4784689
S01006508,Culter,Aberdeen City,624,461,0.06,40,0.04,19,45,71.02115367,18.26983086,41.14112616,12.812499999999998,3.7037037,69.31582422,90.476,5.75,38.55968279,1.4925373,18.5185,3.323024883,3.784548989,1.440991446,3.247325103,2.062255054,10.61676829,8.620699844,4.321493002,5.770909798,0.5633803,8.101227762465548,12982.736798822994,31,8,4.8211509,1.244168
S01006509,Culter,Aberdeen City,537,307,0.1,52,0.08,26,80,80.47329293,28.48558849,103.4846837,16.3963964,4.7619048,88.1756104,94.268,6.2,80.0600707,0,25,2.622991379,2.778025862,2.620681034,1.936907895,2.160142241,10.03647059,7.935112069,8.433327586,8.329818966,11.3074205,4.050613881232774,7543.042609372019,42,6,7.2413793,1.0344828000000001
S01006510,Culter,Aberdeen City,663,415,0.1,68,0.08,32,95,89.11049148,44.29032988,138.6446488,22.0566319,4.5454546,88.70196706,79.739,5.8666666667,77.15815797,5.6818182,16.4948,2.115003882,2.358334627,2.408416149,1.845671642,1.784635093,9.65,5.568963509,6.966428571,6.632608696,0.30959749999999997,11.139188173390128,16801.188798476815,50,7,8.6655113,1.2131716000000001
S01006511,Culter,Aberdeen City,759,453,0.04,30,0.04,17,50,54.7042242,0,54.24017289,12.242268000000001,12.5,72.69155439,90.419,5.7857142857,53.7954967,1.8691589000000002,12.857099999999999,1.516910786,1.769580559,3.227433422,2.517456897,2.593052597,8.614008264,4.934953395,7.66855526,7.340099867,5.2959502,NA,NA,27,8,3.6048063999999997,1.0680908
S01006512,Culter,Aberdeen City,539,345,0.02,13,0.02,8,40,28.66101048,0,40.68272205,10.701107,6.25,54.62149182,93.151,5.8636363636,26.73724705,0,15.3061,5.365871869,5.776136802,3.909219653,5.374183673,4.277914258,12.2152381,19.01185934,16.25665703,16.96018304,53.8011696,7.088574292157355,13151.34377023628,27,9,5.4435484,1.8145161
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,0.02,14,0.03,13,40,27.65732244,0,137.8361773,20.9631728,0,72.3575304,94.012,6.0967741935,40.46730619,2.5641026,28.301900000000003,3.573032407,4.322546296,5.524486883,1.945431034,4.910960648,6.262142857,11.26949074,10.98277392,11.09934414,3.4482759,NA,NA,15,4,2.6408451,0.7042254
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,0.02,17,0.02,12,25,17.96600844,0,106.5321065,11.5452931,8,58.53145943,94.355,6.5,18.81246474,1.2422360000000001,21.973100000000002,2.722303452,3.517337009,4.693964525,2.889620253,4.061291946,7.039017857,9.742909875,10.00215724,9.730057526,13.600000000000001,9.113881232773743,8115.655594633786,10,3,1.0638298,0.3191489
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,0.01,5,0.01,7,25,23.38123532,0,34.02792968,10.1781171,0,58.49145493,95.781,6,15.11780333,0,20.438000000000002,4.444311024,5.177401575,6.337329396,3.063817734,5.78468832,6.878787129,17.18346129,17.09095472,17.02836614,21.5547703,NA,NA,29,1,3.8057743,0.1312336
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,629,419,0.02,14,0.03,14,35,18.87640712,0,33.92323078,8.3596215,10,41.74592232,NA,6.1818181818,23.78049428,0,13.333300000000001,4.675375,4.139541667,5.934569444,3.918613861,6.009680556,5.953293413,9.590643519,10.14486111,11.5089537,21.9387755,8.101227762465548,12879.535393426946,12,1,2.5695931,0.2141328
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,1052,646,0.02,24,0.04,24,40,31.05872066,16.33982145,63.30176306,13.098729200000001,0,68.96035789,92.4,6,24.66994072,0.7352941,35.074600000000004,6.506306706,3.228658777,3.664191321,4.761158537,8.88293146,2.994635922,12.55568787,12.47737549,20.90167776,25.6704981,8.101227762465548,7700.786846450142,39,9,3.8461538,0.887574
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,664,370,0.01,7,0.01,4,20,10.58019149,57.23444259,42.80698768,9.1851852,8.3333333,47.97562069,NA,6.5,13.93275423,0,30.3797,6.268999203,3.727200957,4.52180622,4.624166667,7.606200159,3.730855856,10.02149522,8.163209729,13.49807815,7.2796935,NA,NA,2,0,0.31897929999999997,0
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,941,560,0.02,19,0.02,13,30,4.114798174,37.18079125,65.81226211,9.0816327,0,56.53431307,94.297,6.6111111111,28.5337643,0,32.4503,7.274364162,3.673436416,4.419797688,3.606640625,8.611687861,2.548541667,13.87457225,12.00170231,18.20161272,29.9651568,7.088574292157355,7533.022627159782,12,0,1.4869888,0
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,875,559,0.01,10,0.01,5,15,24.62370459,37.33464595,29.70383245,6.870229,4.5454546,60.71693579,94.882,6.4,4.468898176,0,22.069,7.329286694,4.131340878,4.880294925,4.243655303,8.693045267,3.603938547,17.05100823,15.17682442,21.22265432,0,NA,NA,12,0,1.6460905000000001,0
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,793,512,0.01,5,0.01,5,20,4.641211021,0,55.66547825,7.1878941,5,46.16380106,93.878,6.2777777778,17.65588961,2.3255814,29.113899999999997,5.096502259,3.876603916,2.869096386,4.425,7.081193524,3.989607843,15.88829819,13.70700301,22.9378012,4.0441176,5.063267351540968,6384.952524011308,9,0,1.3574661,0
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,675,412,0,0,0.01,2,15,11.92294885,0,67.1088941,7.1964018,0,66.17171694,NA,6.5,15.94313208,0,25.555600000000002,5.800810105,3.573819686,2.144168118,5.052156863,7.886459059,3.509772727,10.82259146,8.406219512,18.79038328,0.8333333,3.0379604109245806,4500.682090258638,7,2,1.2195121999999998,0.34843209999999997
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,957,571,0.03,29,0.02,12,40,51.03275325,0,64.93986724,9.8765432,2.8571429,62.42467296,94.468,6.2068965517,12.19492949,0,27.777800000000003,6.339970776,2.804391605,1.875868757,5.568706468,8.112104145,2.739502924,7.806721573,5.124808714,15.75278162,0.8492569,10.126534703081935,10581.540964557926,18,8,1.9128587,0.8501593999999999
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,1056,629,0.1,107,0.09,58,90,76.4744689,32.10697929,123.7699973,14.591078099999999,0,67.49911262,NA,6.5294117647,70.4009352,5.7142857,19.5266,6.682634026,2.101591904,2.427705142,5.132513812,7.8547593000000004,2.187345679,6.600771335,5.694649891,13.88874179,0,3.0379604109245806,2876.8564497391862,21,6,2.9535865,0.8438819
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,904,497,0.03,31,0.04,18,45,56.7020286,38.12613197,43.75619305,13.4243459,9.0909091,65.53210263,92,6.3,14.26774772,1.7543860000000002,29.5238,7.0921491230000004,2.269830827,3.018486842,3.627428571,8.427399749,2.073387097,8.552944862,6.89502193,14.2262782,7.4626866,6.075920821849161,6721.151351603055,26,4,3.2581454,0.5012531
S01006526,Garthdee,Aberdeen City,924,670,0.12,115,0.08,52,90,118.7836678,68.38852384,122.8685419,17.2088143,4.5454546,125.9003782,72.143,4.5789473684,104.537893,3.0769231,1.5385,4.558522727,3.012039911,3.255920177,3.899104478,5.451172395,5.993989899,8.044681264,9.988115299,10.63574002,0,6.075920821849161,6575.67188511814,160,5,17.7383592,0.5543237000000001
S01006527,Garthdee,Aberdeen City,756,508,0.16,122,0.12,59,120,160.976201,258.1530333,110.5140939,19.0476191,4.4444444,124.1862079,73.469,4.9565217391,138.2148324,5.2631578999999995,4.3478,3.390329429,1.756039531,3.006885066,3.510115207,4.303938507,6.008277311,6.665065886,10.62077965,10.24193265,15.966386599999998,19.240415935855676,25450.285629438727,77,0,11.4243323,0
