date,name,value
2020-03-09,lothian,5
2020-03-10,grampian,6
2020-03-10,lothian,7
2020-03-11,grampian,6
2020-03-11,greater_glasgow_and_clyde,5
2020-03-11,lothian,8
2020-03-12,forth_valley,6
2020-03-12,grampian,7
2020-03-12,greater_glasgow_and_clyde,10
2020-03-12,lanarkshire,7
2020-03-12,lothian,11
2020-03-12,shetland,6
2020-03-13,forth_valley,6
2020-03-13,grampian,9
2020-03-13,greater_glasgow_and_clyde,20
2020-03-13,lanarkshire,7
2020-03-13,lothian,19
2020-03-13,shetland,8
2020-03-14,ayrshire_and_arran,6
2020-03-14,borders,5
2020-03-14,fife,6
2020-03-14,forth_valley,6
2020-03-14,grampian,9
2020-03-14,greater_glasgow_and_clyde,31
2020-03-14,lanarkshire,10
2020-03-14,lothian,25
2020-03-14,shetland,13
2020-03-14,tayside,11
2020-03-15,ayrshire_and_arran,6
2020-03-15,borders,7
2020-03-15,fife,7
2020-03-15,forth_valley,10
2020-03-15,grampian,12
2020-03-15,greater_glasgow_and_clyde,39
2020-03-15,lanarkshire,16
2020-03-15,lothian,28
2020-03-15,shetland,13
2020-03-15,tayside,15
2020-03-16,ayrshire_and_arran,6
2020-03-16,borders,7
2020-03-16,fife,7
2020-03-16,forth_valley,10
2020-03-16,grampian,12
2020-03-16,greater_glasgow_and_clyde,44
2020-03-16,lanarkshire,20
2020-03-16,lothian,29
2020-03-16,shetland,15
2020-03-16,tayside,17
2020-03-17,ayrshire_and_arran,6
2020-03-17,borders,7
2020-03-17,fife,7
2020-03-17,forth_valley,12
2020-03-17,grampian,18
2020-03-17,greater_glasgow_and_clyde,49
2020-03-17,highland,5
2020-03-17,lanarkshire,21
2020-03-17,lothian,30
2020-03-17,shetland,15
2020-03-17,tayside,20
2020-03-18,ayrshire_and_arran,9
2020-03-18,borders,7
2020-03-18,fife,8
2020-03-18,forth_valley,15
2020-03-18,grampian,18
2020-03-18,greater_glasgow_and_clyde,57
2020-03-18,highland,5
2020-03-18,lanarkshire,25
2020-03-18,lothian,33
2020-03-18,shetland,16
2020-03-18,tayside,24
2020-03-19,ayrshire_and_arran,12
2020-03-19,borders,8
2020-03-19,dumfries_and_galloway,6
2020-03-19,fife,9
2020-03-19,forth_valley,17
2020-03-19,grampian,18
2020-03-19,greater_glasgow_and_clyde,71
2020-03-19,highland,6
2020-03-19,lanarkshire,33
2020-03-19,lothian,35
2020-03-19,shetland,24
2020-03-19,tayside,27
2020-03-20,ayrshire_and_arran,16
2020-03-20,borders,9
2020-03-20,dumfries_and_galloway,10
2020-03-20,fife,12
2020-03-20,forth_valley,23
2020-03-20,grampian,19
2020-03-20,greater_glasgow_and_clyde,91
2020-03-20,highland,6
2020-03-20,lanarkshire,41
2020-03-20,lothian,40
2020-03-20,shetland,24
2020-03-20,tayside,31
2020-03-21,ayrshire_and_arran,21
2020-03-21,borders,10
2020-03-21,dumfries_and_galloway,13
2020-03-21,fife,13
2020-03-21,forth_valley,27
2020-03-21,grampian,20
2020-03-21,greater_glasgow_and_clyde,110
2020-03-21,highland,8
2020-03-21,lanarkshire,49
2020-03-21,lothian,44
2020-03-21,shetland,24
2020-03-21,tayside,34
2020-03-22,ayrshire_and_arran,25
2020-03-22,borders,11
2020-03-22,dumfries_and_galloway,16
2020-03-22,fife,16
2020-03-22,forth_valley,30
2020-03-22,grampian,23
2020-03-22,greater_glasgow_and_clyde,130
2020-03-22,highland,8
2020-03-22,lanarkshire,49
2020-03-22,lothian,46
2020-03-22,shetland,24
2020-03-22,tayside,38
2020-03-23,ayrshire_and_arran,34
2020-03-23,borders,12
2020-03-23,dumfries_and_galloway,18
2020-03-23,fife,19
2020-03-23,forth_valley,40
2020-03-23,grampian,24
2020-03-23,greater_glasgow_and_clyde,152
2020-03-23,highland,12
2020-03-23,lanarkshire,58
2020-03-23,lothian,59
2020-03-23,shetland,24
2020-03-23,tayside,47
2020-03-24,ayrshire_and_arran,41
2020-03-24,borders,12
2020-03-24,dumfries_and_galloway,26
2020-03-24,fife,25
2020-03-24,forth_valley,43
2020-03-24,grampian,24
2020-03-24,greater_glasgow_and_clyde,183
2020-03-24,highland,13
2020-03-24,lanarkshire,75
2020-03-24,lothian,70
2020-03-24,shetland,24
2020-03-24,tayside,48
2020-03-25,ayrshire_and_arran,57
2020-03-25,borders,15
2020-03-25,dumfries_and_galloway,31
2020-03-25,fife,29
2020-03-25,forth_valley,59
2020-03-25,grampian,29
2020-03-25,greater_glasgow_and_clyde,221
2020-03-25,highland,22
2020-03-25,lanarkshire,87
2020-03-25,lothian,88
2020-03-25,shetland,24
2020-03-25,tayside,57
2020-03-26,ayrshire_and_arran,74
2020-03-26,borders,23
2020-03-26,dumfries_and_galloway,39
2020-03-26,fife,40
2020-03-26,forth_valley,75
2020-03-26,grampian,31
2020-03-26,greater_glasgow_and_clyde,258
2020-03-26,highland,29
2020-03-26,lanarkshire,114
2020-03-26,lothian,111
2020-03-26,shetland,24
2020-03-26,tayside,76
2020-03-27,ayrshire_and_arran,75
2020-03-27,borders,28
2020-03-27,dumfries_and_galloway,47
2020-03-27,fife,41
2020-03-27,forth_valley,81
2020-03-27,grampian,45
2020-03-27,greater_glasgow_and_clyde,299
2020-03-27,highland,33
2020-03-27,lanarkshire,140
2020-03-27,lothian,139
2020-03-27,shetland,24
2020-03-27,tayside,107
2020-03-28,ayrshire_and_arran,90
2020-03-28,borders,35
2020-03-28,dumfries_and_galloway,60
2020-03-28,fife,51
2020-03-28,forth_valley,94
2020-03-28,grampian,52
2020-03-28,greater_glasgow_and_clyde,376
2020-03-28,highland,36
2020-03-28,lanarkshire,165
2020-03-28,lothian,151
2020-03-28,shetland,27
2020-03-28,tayside,127
2020-03-29,ayrshire_and_arran,108
2020-03-29,borders,50
2020-03-29,dumfries_and_galloway,63
2020-03-29,fife,58
2020-03-29,forth_valley,94
2020-03-29,grampian,62
2020-03-29,greater_glasgow_and_clyde,401
2020-03-29,highland,41
2020-03-29,lanarkshire,184
2020-03-29,lothian,188
2020-03-29,shetland,27
2020-03-29,tayside,141
2020-03-30,ayrshire_and_arran,154
2020-03-30,borders,63
2020-03-30,dumfries_and_galloway,74
2020-03-30,fife,70
2020-03-30,forth_valley,103
2020-03-30,grampian,66
2020-03-30,greater_glasgow_and_clyde,449
2020-03-30,highland,44
2020-03-30,lanarkshire,197
2020-03-30,lothian,208
2020-03-30,shetland,27
2020-03-30,tayside,177
2020-03-31,ayrshire_and_arran,177
2020-03-31,borders,77
2020-03-31,dumfries_and_galloway,92
2020-03-31,fife,76
2020-03-31,forth_valley,131
2020-03-31,grampian,86
2020-03-31,greater_glasgow_and_clyde,547
2020-03-31,highland,51
2020-03-31,lanarkshire,244
2020-03-31,lothian,269
2020-03-31,shetland,29
2020-03-31,tayside,214
2020-04-01,ayrshire_and_arran,199
2020-04-01,borders,87
2020-04-01,dumfries_and_galloway,100
2020-04-01,fife,96
2020-04-01,forth_valley,146
2020-04-01,grampian,108
2020-04-01,greater_glasgow_and_clyde,632
2020-04-01,highland,58
2020-04-01,lanarkshire,284
2020-04-01,lothian,311
2020-04-01,shetland,30
2020-04-01,tayside,254
2020-04-02,ayrshire_and_arran,221
2020-04-02,borders,93
2020-04-02,dumfries_and_galloway,104
2020-04-02,fife,119
2020-04-02,forth_valley,172
2020-04-02,grampian,128
2020-04-02,greater_glasgow_and_clyde,682
2020-04-02,highland,65
2020-04-02,lanarkshire,320
2020-04-02,lothian,356
2020-04-02,shetland,30
2020-04-02,tayside,307
2020-04-03,ayrshire_and_arran,240
2020-04-03,borders,100
2020-04-03,dumfries_and_galloway,122
2020-04-03,fife,147
2020-04-03,forth_valley,189
2020-04-03,grampian,173
2020-04-03,greater_glasgow_and_clyde,779
2020-04-03,highland,72
2020-04-03,lanarkshire,377
2020-04-03,lothian,408
2020-04-03,shetland,36
2020-04-03,tayside,353
2020-04-04,ayrshire_and_arran,254
2020-04-04,borders,110
2020-04-04,dumfries_and_galloway,127
2020-04-04,fife,173
2020-04-04,forth_valley,208
2020-04-04,grampian,177
2020-04-04,greater_glasgow_and_clyde,851
2020-04-04,highland,85
2020-04-04,lanarkshire,427
2020-04-04,lothian,476
