area_code,date,measurement,value,variable,official_name
S08000019,2020-04-11,Count,324,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-10,Count,302,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-13,Count,352,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-12,Count,337,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-07,Count,243,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-06,Count,231,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-09,Count,280,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-08,Count,259,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-19,Count,509,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-18,Count,451,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-21,Count,562,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-20,Count,542,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-15,Count,380,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-14,Count,367,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-17,Count,431,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-16,Count,400,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-27,Count,81,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-26,Count,75,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-29,Count,94,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-28,Count,94,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-23,Count,40,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-22,Count,30,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-25,Count,59,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-24,Count,43,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-03,Count,189,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-02,Count,172,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-05,Count,226,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-04,Count,208,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-31,Count,131,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-30,Count,103,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-01,Count,146,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-12,Count,856,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-11,Count,839,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-14,Count,863,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
