data_zone,intermediate_zone,count
S92000003,Scotland,16265
S12000033,Aberdeen City,785
S12000034,Aberdeenshire,645
S12000041,Angus,305
S12000035,Argyll and Bute,515
S12000036,City of Edinburgh,2175
S12000005,Clackmannanshire,115
S12000006,Dumfries and Galloway,610
S12000042,Dundee City,430
S12000008,East Ayrshire,260
S12000045,East Dunbartonshire,165
S12000010,East Lothian,255
S12000011,East Renfrewshire,140
S12000014,Falkirk,330
S12000047,Fife,870
S12000049,Glasgow City,2085
S12000017,Highland,1230
S12000018,Inverclyde,175
S12000019,Midlothian,185
S12000020,Moray,300
S12000013,Na h-Eileanan Siar,110
S12000021,North Ayrshire,375
S12000050,North Lanarkshire,690
S12000023,Orkney Islands,75
S12000048,Perth and Kinross,580
S12000038,Renfrewshire,420
S12000026,Scottish Borders,375
S12000027,Shetland Islands,95
S12000028,South Ayrshire,355
S12000029,South Lanarkshire,680
S12000030,Stirling,390
S12000039,West Dunbartonshire,200
S12000040,West Lothian,345
S02000401,"Abbeyhill, Meadowbank and Marionville",15
S02000095,Aberchirder and Whitehills,10
S02000508,Aberdour and Auchtertool,15
S02000956,Aberuthven and Almondbank,10
S02000054,Aboyne and South Deeside,15
S02000937,Abronhill North,0
S02000932,Abronhill South,5
S02000918,Airdrie North,15
S02000884,Allanton,10
S02000157,Alloa North,5
S02000153,Alloa South and East,35
S02000154,Alloa West,5
S02001062,Alloway and Doonfoot,10
S02000755,Alness,10
S02000254,Altonhill North and Onthank,5
S02000252,"Altonhill South, Longpark and Hillhead",10
S02000162,Alva,10
S02000979,Alyth,10
S02000651,Anderston,30
S02000129,Angus Glens,15
S02000177,Annan North,5
S02000174,Annan South,20
S02001076,"Annbank, Mossblown and Tarbolton - the Coalfields",5
S02000702,Anniesland East,10
S02000705,Anniesland West,5
S02000565,Anstruther,20
S02000478,Antonshill,0
S02000114,Arbroath Cliffburn,5
S02000112,Arbroath Harbour,40
S02000111,Arbroath Keptie,10
S02000113,Arbroath Kirkton,5
S02000115,Arbroath Warddykes,5
S02000225,Ardler and St Marys,10
S02000849,Ardrossan Central,15
S02000855,Ardrossan North East,5
S02000854,Ardrossan North West,5
S02001222,Armadale,20
S02000832,Arran,50
S02001095,Ashgill and Netherburn,5
S02000026,Ashgrove,5
S02000322,Auchenback,0
S02000260,Auchinairn,10
S02000238,Auchinleck,10
S02000084,Auchnagatt,0
S02000953,Auchterarder,20
S02000087,Auchterless and Monquhitter,0
S02000570,Auchtermuchty and Gateside,5
S02001069,"Ayr North Harbour, Wallacetown and Newton South",20
S02001067,Ayr South Harbour and Town Centre,95
S02000340,Baberton and Juniper Green,10
S02000723,Badenoch and Strathspey Central,55
S02000726,Badenoch and Strathspey North,35
S02000721,Badenoch and Strathspey South,40
S02000618,Baillieston East,25
S02000626,Baillieston West,0
S02000470,Bainsford and Langlees,5
S02000330,Balerno,5
S02000204,Balgay,10
S02000042,Balgownie and Donmouth East,10
S02000041,Balgownie and Donmouth West,5
S02000380,Balgreen and Roseburn,5
S02000538,Ballingry,5
S02000933,Balloch East,10
S02000936,Balloch West,5
S02000941,Balmalloch,5
S02000069,Balmedie and Potterton,5
S02000581,Balmullo and Gauldry,5
S02000697,Balornock,0
S02000057,Banchory,20
S02000059,Banchory-Devenick and Findon,10
S02000099,Banff,20
S02001158,Bankhead South,5
S02000445,Banknock and Haggs,5
S02001165,Bannockburn,20
S02000453,Bantaskin,5
S02001079,Barassie,0
S02000646,Barlanark,5
S02000282,Barloch,5
S02000687,Barmulloch,5
S02000212,Barnhill,10
S02000413,Barnton and Cammo,5
S02000431,Barra and South Uist,15
S02000074,Barrahill,10
S02001225,Bathgate East,45
S02001219,Bathgate West,0
S02000607,Battlefield,20
S02000215,Baxter Park,0
S02000862,Beith East and Rural,10
S02000864,Beith West,0
S02000241,Bellfield and Kirkstyle,5
S02000898,Bellshill Central,20
S02000892,Bellshill South,20
S02001065,Belmont,5
S02000432,Benbecula and North Ui,15
S02000150,Benderloch Trail,35
S02001047,Berwickshire Central,10
S02001048,Berwickshire East,25
S02001045,Berwickshire West,5
S02001085,"Biggar, Symington, Thankerton and Dolphinton",20
S02000378,"Bingham, Magdalene and the Christians",5
S02000901,Birkenshaw,5
S02001112,"Birniehill, Kelvin and Whitehills East",10
S02000268,Bishopbriggs North and Kenmure,5
S02000264,Bishopbriggs West and Cadder,20
S02001020,Bishopton,15
S02000753,Black Isle North,10
S02000748,Black Isle South,25
S02001212,Blackburn,15
S02000355,Blackford,20
S02000397,Blackhall,10
S02000678,Blackhill and Barmulloch East,5
S02000454,"Blackness, Carriden and Grahamsdyke",10
S02001215,Blackridge,5
S02001205,Blaeberry Hill,5
S02000982,"Blair Atholl, Strathardle and Glenshee",35
S02000709,Blairdardie East,0
S02000711,Blairdardie West,5
S02000978,Blairgowrie East (Rattray),5
S02000977,Blairgowrie West,30
S02001163,Blane Valley,5
S02001143,Blantyre South and Wheatlands,10
S02001144,Blantytre North and Coatshill,10
S02000331,Bonaly and Pentlands,10
S02000418,Bonnington and Pilrig,20
S02000465,Bonnybridge,15
S02000802,Bonnyrigg North,20
S02000800,Bonnyrigg South,0
S02000250,Bonnyton and Town Centre,50
S02000190,Boreland and Ecclefechan,5
S02001168,Borestone,10
S02000423,Boswall and Pilton,5
S02001147,Bothwell North,0
S02001145,Bothwell South,10
S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",5
S02000456,Bowhouse,5
S02000440,Braes Villages,0
S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig",5
S02000011,"Braeside, Mannofield, Broomhill and Seafield East",10
S02000013,"Braeside, Mannofield, Broomhill and Seafield North",5
S02000009,"Braeside, Mannofield, Broomhill and Seafield South",0
S02000620,Braidfauld,15
S02000347,Braids,0
S02000126,Brechin East,10
S02000127,Brechin West,10
S02001202,Breich Valley,5
S02001178,Bridge of Allan,20
S02000955,Bridge of Earn and Abernethy,10
S02001008,Bridge of Weir,10
S02000444,"Brightons, Reddingmuirhead and Wallacest",10
S02000438,Broadbay,0
S02000679,Broomhill,10
S02000358,Broomhouse and Sighthill,10
S02000412,Broughton,20
S02000213,Broughty Ferry East,5
S02000206,Broughty Ferry Wes,45
S02001227,Broxburn,15
S02000376,Bruntsfield,35
S02000540,Buckhaven and Muiredge,0
S02000828,Buckie Central East,10
S02000827,Buckie West and Mains of Buckie,15
S02000043,Bucksburn North,20
S02000039,Bucksburn South,5
S02000399,Bughtlin and Parkgrove,5
S02001159,"Burgh, Eastfield and Silverbank",5
S02000829,"Burghead, Roseisle and Laich",10
S02000962,Burghmuir and Oakbank,0
S02001137,Burnbank Central and Udston,5
S02001141,Burnbank North,15
S02001133,Burnbank South and Chantinghall,10
S02001026,Burnfoot and area,0
S02001160,Burnhill and Bankhead North,5
S02001150,Burnside and Springhall,5
S02000495,Burntisland East,5
S02000500,Burntisland West,10
S02000315,Busby,10
S02000132,Bute,5
S02000223,Caird Park,0
S02000490,Cairneyhill and Crombie,0
S02000908,Cairnhill,25
S02000768,Caithness North East,15
S02000767,Caithness North West,10
S02000763,Caithness South,10
S02000921,Caldercruix and Plains,10
S02000350,Calders,5
S02001217,Calderwood,10
S02001136,Calderwood Central,0
S02001138,Calderwood East,0
S02001132,Calderwood West and Nerston,10
S02001182,Callander,25
S02000635,"Calton, Galllowgate and Bridgeton",35
S02001166,Cambusbarron and Carron Vall,5
S02001153,Cambuslang Central,15
S02000459,Camelon East,20
S02000458,Camelon West,5
S02000130,Campbeltown,20
S02000534,Cardenden,15
S02000637,Cardonald North,0
S02000625,Cardonald South and East,20
S02000627,Cardonald West and Central,20
S02000896,Carfin North,10
S02000887,"Carfin, Cleekhimin and New Stevenston",15
S02001100,Carluke East,0
S02001104,Carluke North,10
S02001099,Carluke South,10
S02001103,Carluke West,5
S02000591,Carmunnock North,0
S02000584,Carmunnock South,0
S02000613,Carmyle and Mount Vernon South,5
S02000108,Carnoustie East,10
S02000107,Carnoustie West,10
S02000657,Carntyne,5
S02000648,Carntyne West and Haghill,20
S02000594,Carnwadric East,5
S02000592,Carnwadric West,5
S02000372,Carrick Knowe,5
S02001060,Carrick North,15
S02001057,Carrick South,25
S02000938,Carrickstone,5
S02000474,Carron,5
S02000476,Carronshore,5
S02000480,Carse and Grangemouth Old Town,10
S02001093,"Carstairs, Carstairs Junction and Carnwath",5
S02000168,Castle Douglas,25
S02001064,Castlehill and Kincaidston,0
S02000589,Castlemilk,5
S02000599,Cathcart,10
S02000189,Catherinefield,0
S02000662,Central Easterhouse,5
S02001053,Central Shetland,10
S02000964,"Central, North Inch and South Inch",110
S02000903,Chapelhall East,10
S02000902,Chapelhall West,0
S02001083,"Chapelton, Glengavel and Sandford",0
S02000216,Charleston,5
S02001029,Cheviot East,10
S02001025,Cheviot West,5
S02000925,Chryston and Muirhead,10
S02000018,City Centre,250
S02000201,City Centre,105
S02000658,City Centre East,145
S02000655,City Centre West,465
S02000152,"Clackmannan, Kennet and Forestmill",5
S02000317,Clarkston and Sheddens,10
S02000080,Clashindarroch,5
S02000885,Cleland,5
S02000400,Clermiston,5
S02000394,Clerwood and Corstorphine (Hillview),0
S02000911,Cliftonville South,20
S02000348,Clovenstone and Drumbryden,0
S02001081,Clydesdale South,5
S02000913,Coatbridge West,10
S02000915,Coatdyke and Whinhall,30
S02001043,Coldstream and area,10
S02000344,Colinton and Kingsknowe,5
S02000880,Coltness,5
S02000408,Comely Bank,5
S02000336,Comiston and Swanston,5
S02000960,"Comrie, Gilmerton and St Fillans",20
S02000928,Condorrat,5
S02000747,Conon and Muir of Ord,15
S02000383,Corstorphine,25
S02000976,Coupar Angus and Meigle,15
S02000005,Cove North,35
S02000001,Cove South,0
S02000146,Cowal North,35
S02000137,Cowal South,20
S02000519,Cowdenbeath North,5
S02000515,Cowdenbeath South,5
S02000676,Cowlairs and Port Dundas,15
S02001063,Coylton,5
S02000663,Craigend and Ruchazie,10
S02000406,Craigentinny,0
S02000352,Craighouse and South Morningside,10
S02000207,Craigie and Craigiebank,5
S02000407,Craigleith,5
S02000351,Craiglockhart,10
S02000914,Craigneuk Airdrie,5
S02000878,Craigneuk Wishaw,5
S02001218,Craigshill,5
S02000638,Craigton,5
S02000569,Crail and Boarhills,20
S02000421,Cramond,5
S02000654,"Cranhill, Lightburn and Queenslie South",5
S02000060,Crathes and Torphins,10
S02000179,Cree Valley,30
S02000958,Crieff North,15
S02000957,Crieff South,20
S02000193,Crocketford and Carsphairn,15
S02000065,Cromar and Kildrummy,10
S02000318,Crookfur and Fruin,10
S02000606,Crookston North,0
S02000601,Crookston South,0
S02000329,Cross Stobbs,0
S02001096,"Crossford, Braidwood and Yieldshields",5
S02000491,"Crossford, Charleston and Limekilns",10
S02000498,Crossgates and Halbeath,25
S02000249,Crosshouse and Gatehead Rural,5
S02001105,Crosshouse and Lindsayfield,0
S02000082,Cruden,10
S02000820,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",15
S02000003,Culter,10
S02000004,"Cults, Bieldside and Milltimber East",15
S02000007,"Cults, Bieldside and Milltimber West",0
S02000934,Cumbernauld Central,20
S02000030,Cummings Park,5
S02000236,Cumnock North,15
S02000237,Cumnock Rural,10
S02000234,Cumnock South and Craigens,5
S02000575,Cupar Central,25
S02000574,Cupar East,5
S02000573,Cupar West and Springfield,5
S02000337,Currie East,10
S02000339,Currie West,0
S02000571,"Dairsie, Ceres and Dunino",10
S02000167,Dalbeattie,35
S02000484,Dalgety Bay Central,5
S02000487,Dalgety Bay East,10
S02000485,Dalgety Bay West and Hillend,5
S02000805,Dalkeith,25
S02000370,Dalkeith Rd,30
S02000619,Dalmarnock,5
S02001068,Dalmilling and Craigie,0
S02000859,Dalry East and Rural,15
S02000861,Dalry West,0
S02000381,Dalry and Fountainbridge,40
S02000040,Danestone,5
S02000587,Darnley East,0
S02000590,Darnley North,5
S02000586,Darnley West,10
S02000247,Darvel,5
S02000253,Dean and New Farm Loch North,0
S02000389,"Dean, West End and West Coates",205
S02001221,Deans,5
S02001229,Dechmont,5
S02001211,Dedridge,5
S02000093,Deer and Mormond,10
S02000046,Denmore,15
S02000650,Dennistoun,10
S02000659,Dennistoun North and Alexandra Parade,20
S02000752,Dingwall,25
S02000203,Docks and Wellgate,25
S02000161,Dollar and Muckhart,10
S02000231,Doon Valley North,0
S02000230,Doon Valley South,10
S02000451,Douglas,5
S02000218,Douglas East,0
S02000222,Douglas West,5
S02001082,"Douglas, Coalburn and Rigside",10
S02000681,Dowanhill,25
S02000227,Downfield,5
S02000834,Dreghorn,10
S02000233,Drongan,5
S02000715,Drumchapel North,0
S02000712,Drumchapel South,10
S02000917,Drumgelloch,10
S02000660,Drumoyne and Shieldhall,10
S02000716,Drumry East,5
S02000714,Drumry West,5
S02000411,Drylaw,10
S02000384,Duddingston,5
S02000184,Dumfries East,20
S02000180,Dumfries South,15
S02000183,Dumfries West,5
S02001181,Dunblane East,10
S02001180,Dunblane West,10
S02001080,"Dundonald, Loans and Symington",15
S02000909,Dundyvan,10
S02000061,"Dunecht, Durris and Drumoak",10
S02000497,Dunfermline Abbeyview North,10
S02000494,Dunfermline Abbeyview South,0
S02000504,Dunfermline Baldridgeburn,10
S02000509,Dunfermline Bellyeoman,0
S02000496,Dunfermline Brucefield,10
S02000499,Dunfermline Central,50
S02000493,Dunfermline East and Pitcorthie East,10
S02000503,Dunfermline Garvock Hill,0
S02000505,Dunfermline Headwell,0
S02000510,Dunfermline Milesmark and Wellwood,0
S02000492,Dunfermline Pitcorthie West,5
S02000502,Dunfermline Touch and Woodmill,0
S02000513,Dunfermline Townhill and Kingseat,5
S02000479,Dunipace,5
S02000135,Dunoon,25
S02001046,Duns,10
S02000328,"Dunterlie, East Arthurlie and Dovecothall",30
S02000073,Durno-Chapel of Garioch,5
S02000047,Dyce,70
S02000528,Dysart,10
S02000310,Eaglesham and Waterfoot,5
S02000244,Earlston and Hurlford Rural,10
S02001044,"Earlston, Lauder and Stow area",20
S02001128,Earnock,5
S02000056,East Cairngorms,35
S02001213,East Calder,0
S02000284,East Clober and Mains Estate,5
S02000388,East Craigs,15
S02000945,East Kirkwall,10
S02000943,East Mainland,10
S02001130,East Mains,30
S02000424,East Trinity and Bonnyhaugh,10
S02001054,East and West Mainland,5
S02000653,Easterhouse East,5
S02000801,Easthouses,5
S02001115,Eddlewood,0
S02000999,Elderslie and Phoenix,15
S02000824,Elgin Bishopmill East and Ladyhill,30
S02000825,Elgin Bishopmill West and Newfield,0
S02000823,Elgin Cathedral to Ashgrove and Pinefield,30
S02000822,Elgin Central West,20
S02001220,Eliburn,5
S02000564,"Elie, Colinsburgh and Largoward",15
S02000076,Ellon East,25
S02000077,Ellon West,5
S02000970,Errol and Inchture,5
S02001018,Erskine Central,5
S02001017,Erskine East and Inchinnan,0
S02001019,Erskine West,5
S02000804,Eskbank,15
S02001028,"Ettrick, Yarrow and Yair",15
S02001049,Eyemouth,15
S02001122,Fairhill,0
S02000860,Fairlie and Rural,15
S02000335,Fairmilehead,5
S02000219,Fairmuir,20
S02000452,Falkirk Town Centre and Callendar Park,55
S02000567,Falkland and Freuchie,10
S02001170,Fallin,5
S02000895,Fallside,20
S02000473,"Fankerton, Stoneywood and Denny Town",10
S02001162,Farme Cross and Gallowflat North,15
S02001204,Fauldhouse,5
S02001146,Fernhill and Cathkin,0
S02000343,"Ferniehill,  South Moredun and Craigour",5
