"","code","Area_Name","Day","Month","Year","Date","Indicator","Value"
"1","S12000033","Aberdeen City","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2059
"2","S12000034","Aberdeenshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3566
"3","S12000041","Angus","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1832
"4","S12000035","Argyll & Bute","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3177
"5","S12000005","Clackmannanshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",614
"6","S12000006","Dumfries & Galloway","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3836
"7","S12000042","Dundee City","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2156
"8","S12000008","East Ayrshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1757
"9","S12000045","East Dunbartonshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1058
"10","S12000010","East Lothian","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1472
"11","S12000011","East Renfrewshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",744
"12","S12000036","City of Edinburgh","30th","June",2020,"30/06/2020","Business Support Grants Awarded",7499
"13","S12000013","Eilean Siar","30th","June",2020,"30/06/2020","Business Support Grants Awarded",769
"14","S12000014","Falkirk","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2039
"15","S12000047","Fife","30th","June",2020,"30/06/2020","Business Support Grants Awarded",4678
"16","S12000049","Glasgow City","30th","June",2020,"30/06/2020","Business Support Grants Awarded",8748
"17","S12000017","Highland","30th","June",2020,"30/06/2020","Business Support Grants Awarded",6283
"18","S12000018","Inverclyde","30th","June",2020,"30/06/2020","Business Support Grants Awarded",898
"19","S12000019","Midlothian","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1078
"20","S12000020","Moray","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1662
"21","S12000021","North Ayrshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2087
"22","S12000050","North Lanarkshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3489
"23","S12000023","Orkney Islands","30th","June",2020,"30/06/2020","Business Support Grants Awarded",664
"24","S12000048","Perth & Kinross","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3160
"25","S12000038","Renfrewshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2227
"26","S12000026","Scottish Borders","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2719
"27","S12000027","Shetland Islands","30th","June",2020,"30/06/2020","Business Support Grants Awarded",706
"28","S12000028","South Ayrshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1885
"29","S12000029","South Lanarkshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",3538
"30","S12000030","Stirling","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1975
"31","S12000039","West Dunbartonshire","30th","June",2020,"30/06/2020","Business Support Grants Awarded",1187
"32","S12000040","West Lothian","30th","June",2020,"30/06/2020","Business Support Grants Awarded",2218
"33","S92000003","Scotland","30th","June",2020,"30/06/2020","Business Support Grants Awarded",81780
"34","S12000033","Aberdeen City","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",19
"35","S12000034","Aberdeenshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",23
"36","S12000041","Angus","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",40
"37","S12000035","Argyll & Bute","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",68
"38","S12000005","Clackmannanshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",45
"39","S12000006","Dumfries & Galloway","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",51
"40","S12000042","Dundee City","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",48
"41","S12000008","East Ayrshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",44
"42","S12000045","East Dunbartonshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",31
"43","S12000010","East Lothian","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",40
"44","S12000011","East Renfrewshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",25
"45","S12000036","City of Edinburgh","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",32
"46","S12000013","Eilean Siar","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",52
"47","S12000014","Falkirk","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",44
"48","S12000047","Fife","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",40
"49","S12000049","Glasgow City","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",37
"50","S12000017","Highland","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",46
"51","S12000018","Inverclyde","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",45
"52","S12000019","Midlothian","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",38
"53","S12000020","Moray","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",41
"54","S12000021","North Ayrshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",51
"55","S12000050","North Lanarkshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",36
"56","S12000023","Orkney Islands","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",38
"57","S12000048","Perth & Kinross","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",44
"58","S12000038","Renfrewshire","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",37
"59","S12000026","Scottish Borders","30th","June",2020,"30/06/2020","Grants per 100 Small Businesses",46
