IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S02001236,Culter,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001239,Garthdee,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001243,Hazlehead,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001244,Summerhill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001245,Midstocket,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001246,Rosemount,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001247,West End North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001248,West End South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001249,City Centre West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001250,City Centre East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001251,Ferryhill North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001252,Ferryhill South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001253,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001254,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001255,Cove South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001256,Cove North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001257,Torry West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001258,Torry East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001259,Hanover South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001260,Hanover North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001261,George Street,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001262,Ashgrove,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001263,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001264,Seaton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001265,Old Aberdeen,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001266,Tillydrone,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001267,Woodside,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001268,Hilton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001269,Stockethill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001270,Mastrick,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001271,Sheddocksley,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001272,Cummings Park,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001273,Northfield,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001274,Heathryfold and Middlefield,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001275,Kingswells,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001276,Bucksburn South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001277,Bucksburn North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001278,Dyce,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001279,Danestone,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001280,Oldmachar West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001281,Oldmachar East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001282,Balgownie and Donmouth West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001283,Balgownie and Donmouth East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001284,Denmore,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02001285,East Cairngorms,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001286,Aboyne and South Deeside,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001287,Mearns and Laurencekirk,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001288,Mearns South and Benholm,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001289,Mearns North and Inverbervie,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001290,"Fetteresso, Netherley and Catter",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001291,Stonehaven South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001292,Stonehaven North,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001293,Newtonhill,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001294,Portlethen,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001295,Banchory-Devenick and Findon,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001296,"Dunecht, Durris and Drumoak",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001297,Banchory East,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001298,Banchory West,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001299,Crathes and Torphins,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001300,Cromar and Kildrummy,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001301,Howe of Alford,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001302,Kemnay,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001303,Inverurie North,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001304,Inverurie South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001305,Durno-Chapel of Garioch,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001306,Kintore,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001307,Blackburn,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001308,Westhill North and South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001309,Westhill Central,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001310,Garlogie and Elrick,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001311,Newmachar and Fintray,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001312,Balmedie and Potterton,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001313,Ellon East,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001314,Ellon West,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001315,Ythanside,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001316,Ythsie,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001317,Barrahill,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001318,Fyvie-Rothie,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001319,"Insch, Oyne and Ythanwells",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001320,Clashindarroch,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001321,Huntly,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001322,Auchterless and Monquhitter,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001323,Turriff,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001324,"Portsoy, Fordyce and Cornhill",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001325,Aberchirder and Whitehills,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001326,Banff,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001327,Macduff,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001328,Gardenstown and King Edward,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001329,New Pitsligo,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001330,Deer and Mormond,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001331,Mintlaw,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001332,Auchnagatt,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001333,Cruden,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001334,Peterhead Links,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001335,Peterhead Bay,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001336,Peterhead Harbour,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001337,Peterhead Ugieside,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001338,Longside and Rattray,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001339,Rosehearty and Strathbeg,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001340,Fraserburgh Smiddyhill,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001341,Fraserburgh Lochpots,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001342,Fraserburgh Central-Academy,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001343,Fraserburgh Harbour and Broadsea,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02001344,South Angus,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001345,Monikie,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001346,Monifieth West,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001347,Monifieth East,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001348,Carnoustie West,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001349,Carnoustie East,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001350,Arbroath Landward,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001351,Arbroath Kirkton,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001352,Arbroath Keptie,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001353,Arbroath Harbour,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001354,Arbroath Cliffburn,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001355,Arbroath Warddykes,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001356,Lunan,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001357,Montrose South,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001358,Montrose North,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001359,Hillside,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001360,Friockheim,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001361,Brechin East,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001362,Brechin West,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001363,Letham and Glamis,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001364,Forfar East,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001365,Forfar Central,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001366,Forfar West,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001367,Kirriemuir Landward,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001368,Kirriemuir,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001369,Angus Glens,S12000041,Angus,S37000003,Angus,S08000030,NHS Tayside,S92000003
S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001374,Loch Awe,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S02001393,Tullibody South,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001394,Tullibody North and Glenochil,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001395,Menstrie,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001396,Alva,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001397,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001398,Tillicoultry,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001399,Dollar and Muckhart,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001400,"Clackmannan, Kennet and Forestmill",S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001401,Sauchie,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001402,Alloa South and East,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001403,Alloa North,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001404,Alloa West,S12000005,Clackmannanshire,S37000005,Clackmannanshire and Stirling,S08000019,NHS Forth Valley,S92000003
S02001405,Stranraer West,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001406,Stranraer East,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001407,Stranraer South,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001408,Rhins North,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001409,Rhins South,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001410,Machars North,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001411,Machars South,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001412,Newton Stewart,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001413,Gatehouse,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001414,Kirkcudbright,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001415,Castle Douglas,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001416,Dalbeattie,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001417,Dalbeattie Rural,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001418,Glenkens,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001419,Upper Nithsdale,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001420,Thornhill,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001421,Mid Nithsdale,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001422,Shawhead,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001423,Lochside and Lincluden,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001424,Summerville,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001425,Troqueer,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001426,New Abbey,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001427,Kingholm,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001428,Calside,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001429,Georgetown,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001430,Dumfries Central,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001431,Nunholm,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001432,Locharbriggs,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001433,Heathhall,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001434,Collin,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001435,Lochmaben,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001436,Lockerbie,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001437,Moffat,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001438,Langholm and Eskdale,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001439,Annandale East,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001440,Annandale West,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001441,Annan West,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001442,Annan East,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001443,Eastriggs,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001444,Gretna,S12000006,Dumfries and Galloway,S37000006,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway,S92000003
S02001445,Westend,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001446,Perth Road,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001447,Logie and Blackness,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001448,City Centre,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001449,Docks and Wellgate,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001450,Hilltown,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001451,The Glens,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001452,Stobswell,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001453,Baxter Park,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001454,Craigie and  Craigiebank,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001455,Douglas West,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001456,West Ferry,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001457,Douglas East,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001458,Broughty Ferry West,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001459,Broughty Ferry East,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001460,Barnhill,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001461,West Pitkerro,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001462,Whitfield,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
S02001463,Fintry,S12000042,Dundee City,S37000007,Dundee City,S08000030,NHS Tayside,S92000003
