Generated by http://statistics.gov.scot,2020-08-13T13:48:30+00:00
http://statistics.gov.scot/data/business-stocks-and-sites,Business Stocks and Sites
Reference Period,2017
Business Estimates,Sites
Industry Sector (SIC 07),Accommodation and Food Services (Section I)
Number Of Employees,All employees
Measure (cell values): ,Count(Sites)

,,http://statistics.gov.scot/def/measure-properties/count
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,16265
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,785
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,645
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,305
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,515
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2175
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,115
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,610
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,430
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,260
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,165
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,255
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,140
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,330
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,870
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,2085
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,1230
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,175
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,185
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,300
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,110
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,375
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,690
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,75
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,580
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,420
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,375
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,95
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,355
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,680
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,390
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,200
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,345
http://statistics.gov.scot/id/statistical-geography/S02000401,"Abbeyhill, Meadowbank and Marionville",15
http://statistics.gov.scot/id/statistical-geography/S02000095,Aberchirder and Whitehills,10
http://statistics.gov.scot/id/statistical-geography/S02000508,Aberdour and Auchtertool,15
http://statistics.gov.scot/id/statistical-geography/S02000956,Aberuthven and Almondbank,10
http://statistics.gov.scot/id/statistical-geography/S02000054,Aboyne and South Deeside,15
http://statistics.gov.scot/id/statistical-geography/S02000937,Abronhill North,0
http://statistics.gov.scot/id/statistical-geography/S02000932,Abronhill South,5
http://statistics.gov.scot/id/statistical-geography/S02000918,Airdrie North,15
http://statistics.gov.scot/id/statistical-geography/S02000884,Allanton,10
http://statistics.gov.scot/id/statistical-geography/S02000157,Alloa North,5
http://statistics.gov.scot/id/statistical-geography/S02000153,Alloa South and East,35
http://statistics.gov.scot/id/statistical-geography/S02000154,Alloa West,5
http://statistics.gov.scot/id/statistical-geography/S02001062,Alloway and Doonfoot,10
http://statistics.gov.scot/id/statistical-geography/S02000755,Alness,10
http://statistics.gov.scot/id/statistical-geography/S02000254,Altonhill North and Onthank,5
http://statistics.gov.scot/id/statistical-geography/S02000252,"Altonhill South, Longpark and Hillhead",10
http://statistics.gov.scot/id/statistical-geography/S02000162,Alva,10
http://statistics.gov.scot/id/statistical-geography/S02000979,Alyth,10
http://statistics.gov.scot/id/statistical-geography/S02000651,Anderston,30
http://statistics.gov.scot/id/statistical-geography/S02000129,Angus Glens,15
http://statistics.gov.scot/id/statistical-geography/S02000177,Annan North,5
http://statistics.gov.scot/id/statistical-geography/S02000174,Annan South,20
http://statistics.gov.scot/id/statistical-geography/S02001076,"Annbank, Mossblown and Tarbolton - the Coalfields",5
http://statistics.gov.scot/id/statistical-geography/S02000702,Anniesland East,10
http://statistics.gov.scot/id/statistical-geography/S02000705,Anniesland West,5
http://statistics.gov.scot/id/statistical-geography/S02000565,Anstruther,20
http://statistics.gov.scot/id/statistical-geography/S02000478,Antonshill,0
http://statistics.gov.scot/id/statistical-geography/S02000114,Arbroath Cliffburn,5
http://statistics.gov.scot/id/statistical-geography/S02000112,Arbroath Harbour,40
http://statistics.gov.scot/id/statistical-geography/S02000111,Arbroath Keptie,10
http://statistics.gov.scot/id/statistical-geography/S02000113,Arbroath Kirkton,5
http://statistics.gov.scot/id/statistical-geography/S02000115,Arbroath Warddykes,5
