"Figure 4: COVID-19 deaths registered between weeks 1 and 24 of 2020,  by health board of residence, Scotland",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total deaths to date,COVID-19 deaths to date,Population (2019),"COVID-19 death rate per 10,000 popualtion1",,,,,,,,,
,,,,,,,,,,,,,
Ayrshire and Arran," 2,571 ",288,"369,360",7.8,,,,,,,,,
Borders, 711 ,71,"115,510",6.1,,,,,,,,,
Dumfries and Galloway, 992 ,47,"148,860",3.2,,,,,,,,,
Fife," 2,059 ",195,"373,550",5.2,,,,,,,,,
Forth Valley," 1,826 ",229,"306,640",7.5,,,,,,,,,
Grampian," 2,984 ",251,"585,700",4.3,,,,,,,,,
Greater Glasgow and Clyde," 7,435 ","1,300","1,183,120",11.0,,,,,,,,,
Highland," 1,928 ",113,"321,700",3.5,,,,,,,,,
Lanarkshire," 4,135 ",561,"661,900",8.5,,,,,,,,,
Lothian," 4,597 ",699,"907,580",7.7,,,,,,,,,
Orkney, 116 ,2,"22,270",0.9,,,,,,,,,
Shetland, 107 ,7,"22,920",3.1,,,,,,,,,
Tayside," 2,707 ",307,"417,470",7.4,,,,,,,,,
Western Isles, 176 ,0,"26,720",0.0,,,,,,,,,
,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,
"1) These are crude rates per 100,000 people and therefore different to the age satndardised rates published in the monthly extra analysis.",,,,,,,,,,,,,
,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
