"Figure 7: Deaths involving COVID-19 by location of death, weeks 14 to 24, 2020",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Week number,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20,21,22,23,24,,,
Registered deaths by location,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Care Home,0,5,49,189,303,340,315,238,187,124,69,42,35,,,
Home / Non-institution,2,14,39,64,36,42,17,22,19,9,7,7,7,,,
Hospital,8,43,193,357,311,277,194,154,128,95,55,39,28,,,
Other institution,0,0,1,0,0,0,0,1,2,2,0,1,0,,,
Total,10,62,282,610,650,659,526,415,336,230,131,89,70,,,
Percentage of deaths registered by location,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Care Home,0%,8%,17%,31%,47%,52%,60%,57%,56%,54%,53%,47%,50%,,,
Home / Non-institution,20%,23%,14%,10%,6%,6%,3%,5%,6%,4%,5%,8%,10%,,,
Hospital,80%,69%,68%,59%,48%,42%,37%,37%,38%,41%,42%,44%,40%,,,
Other institution,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,1%,0%,,,
,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,
