"Figure 8: Deaths involving COVID-19, date of death vs date of registration",,,,,,,,,
,,,,,,,,,
Date,Cumulative deaths by date of death,Cumulative deaths by date of registration,,,,,,,
,,,,,,,,,
,,,,,,,,,
3/12/2020,2,0,,,,,,,
3/13/2020,2,0,,,,,,,
3/14/2020,4,0,,,,,,,
3/15/2020,5,0,,,,,,,
3/16/2020,8,0,,,,,,,
3/17/2020,10,2,,,,,,,
3/18/2020,14,5,,,,,,,
3/19/2020,18,6,,,,,,,
3/20/2020,23,10,,,,,,,
3/21/2020,30,10,,,,,,,
3/22/2020,36,10,,,,,,,
3/23/2020,43,12,,,,,,,
3/24/2020,55,14,,,,,,,
3/25/2020,77,15,,,,,,,
3/26/2020,100,30,,,,,,,
3/27/2020,123,65,,,,,,,
3/28/2020,160,72,,,,,,,
3/29/2020,187,72,,,,,,,
3/30/2020,238,115,,,,,,,
3/31/2020,296,165,,,,,,,
4/1/2020,361,214,,,,,,,
4/2/2020,422,277,,,,,,,
4/3/2020,498,348,,,,,,,
4/4/2020,554,350,,,,,,,
4/5/2020,640,354,,,,,,,
4/6/2020,730,476,,,,,,,
4/7/2020,814,593,,,,,,,
4/8/2020,905,718,,,,,,,
4/9/2020,"1,013",819,,,,,,,
4/10/2020,"1,111",904,,,,,,,
4/11/2020,"1,206",954,,,,,,,
4/12/2020,"1,280",964,,,,,,,
4/13/2020,"1,359","1,041",,,,,,,
4/14/2020,"1,459","1,185",,,,,,,
4/15/2020,"1,553","1,334",,,,,,,
4/16/2020,"1,654","1,462",,,,,,,
4/17/2020,"1,739","1,572",,,,,,,
4/18/2020,"1,834","1,597",,,,,,,
4/19/2020,"1,923","1,614",,,,,,,
4/20/2020,"2,028","1,738",,,,,,,
4/21/2020,"2,124","1,898",,,,,,,
4/22/2020,"2,212","2,019",,,,,,,
4/23/2020,"2,284","2,135",,,,,,,
4/24/2020,"2,360","2,219",,,,,,,
4/25/2020,"2,439","2,259",,,,,,,
4/26/2020,"2,517","2,273",,,,,,,
4/27/2020,"2,602","2,381",,,,,,,
4/28/2020,"2,661","2,515",,,,,,,
4/29/2020,"2,730","2,627",,,,,,,
4/30/2020,"2,798","2,702",,,,,,,
5/1/2020,"2,865","2,778",,,,,,,
5/2/2020,"2,925","2,792",,,,,,,
5/3/2020,"2,986","2,799",,,,,,,
5/4/2020,"3,048","2,864",,,,,,,
5/5/2020,"3,115","2,986",,,,,,,
5/6/2020,"3,174","3,071",,,,,,,
5/7/2020,"3,235","3,143",,,,,,,
5/8/2020,"3,293","3,192",,,,,,,
5/9/2020,"3,343","3,209",,,,,,,
5/10/2020,"3,381","3,214",,,,,,,
5/11/2020,"3,426","3,287",,,,,,,
5/12/2020,"3,461","3,377",,,,,,,
5/13/2020,"3,514","3,421",,,,,,,
5/14/2020,"3,564","3,477",,,,,,,
5/15/2020,"3,598","3,537",,,,,,,
5/16/2020,"3,635","3,547",,,,,,,
5/17/2020,"3,669","3,550",,,,,,,
5/18/2020,"3,703","3,596",,,,,,,
5/19/2020,"3,734","3,662",,,,,,,
5/20/2020,"3,762","3,710",,,,,,,
5/21/2020,"3,796","3,738",,,,,,,
5/22/2020,"3,815","3,766",,,,,,,
5/23/2020,"3,828","3,777",,,,,,,
5/24/2020,"3,841","3,780",,,,,,,
5/25/2020,"3,863","3,802",,,,,,,
5/26/2020,"3,883","3,822",,,,,,,
5/27/2020,"3,905","3,843",,,,,,,
5/28/2020,"3,927","3,868",,,,,,,
5/29/2020,"3,946","3,899",,,,,,,
5/30/2020,"3,959","3,909",,,,,,,
5/31/2020,"3,970","3,911",,,,,,,
6/1/2020,"3,976","3,932",,,,,,,
6/2/2020,"3,990","3,948",,,,,,,
6/3/2020,"4,002","3,967",,,,,,,
6/4/2020,"4,006","3,986",,,,,,,
6/5/2020,"4,022","3,997",,,,,,,
6/6/2020,"4,030","3,999",,,,,,,
6/7/2020,"4,041","4,000",,,,,,,
6/8/2020,,"4,016",,,,,,,
6/9/2020,,"4,036",,,,,,,
6/10/2020,,"4,049",,,,,,,
6/11/2020,,"4,055",,,,,,,
6/12/2020,,"4,067",,,,,,,
6/13/2020,,"4,070",,,,,,,
6/14/2020,,"4,070",,,,,,,
,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
