FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,Cause Of Death,Location Of Death,official_name
S12000039,w/c 2019-12-30,Count,Deaths,25,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-02-03,Count,Deaths,16,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-06-01,Count,Deaths,1,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,2020,Count,Deaths,226,All,All,All causes,Home / Non-institution,West Dunbartonshire
S12000039,w/c 2020-06-08,Count,Deaths,1,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-05-25,Count,Deaths,5,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-01-27,Count,Deaths,22,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-03-02,Count,Deaths,21,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-05-11,Count,Deaths,12,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-05-18,Count,Deaths,4,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-01-06,Count,Deaths,34,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-03-16,Count,Deaths,25,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-02-24,Count,Deaths,21,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-03-09,Count,Deaths,23,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-27,Count,Deaths,42,All,All,All causes,All,West Dunbartonshire
S12000039,2020,Count,Deaths,169,All,All,All causes,Care Home,West Dunbartonshire
S12000039,w/c 2020-03-23,Count,Deaths,2,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-04-13,Count,Deaths,17,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-05-11,Count,Deaths,29,All,All,All causes,All,West Dunbartonshire
S12000039,2020,Count,Deaths,59,All,All,COVID-19 related,Hospital,West Dunbartonshire
S12000039,2020,Count,Deaths,5,All,All,COVID-19 related,Home / Non-institution,West Dunbartonshire
S12000039,w/c 2020-02-17,Count,Deaths,24,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-06,Count,Deaths,17,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,2020,Count,Deaths,0,All,All,COVID-19 related,Other institution,West Dunbartonshire
S12000039,w/c 2020-05-04,Count,Deaths,28,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-06-01,Count,Deaths,20,All,All,All causes,All,West Dunbartonshire
S12000039,2020,Count,Deaths,58,All,All,COVID-19 related,Care Home,West Dunbartonshire
S12000039,w/c 2020-05-04,Count,Deaths,11,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,2020,Count,Deaths,246,All,All,All causes,Hospital,West Dunbartonshire
S12000039,w/c 2020-05-18,Count,Deaths,21,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-06-08,Count,Deaths,28,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-01-20,Count,Deaths,20,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-20,Count,Deaths,31,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-13,Count,Deaths,41,All,All,All causes,All,West Dunbartonshire
