Generated by http://statistics.gov.scot,2020-07-25T09:15:09+00:00
http://statistics.gov.scot/data/dwellings-type,Dwellings by Type
measure type,Ratio
Reference Period,2017
Measure (cell values): ,Ratio(Percent Of Dwellings)

,,http://statistics.gov.scot/def/concept/type-of-dwelling/detached,http://statistics.gov.scot/def/concept/type-of-dwelling/flats,http://statistics.gov.scot/def/concept/type-of-dwelling/semi-detached,http://statistics.gov.scot/def/concept/type-of-dwelling/terraced,http://statistics.gov.scot/def/concept/type-of-dwelling/unknown
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Detached,Flats,Semi-Detached,Terraced,Unknown
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,21.5,37.7,19.7,20.5,0.7
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,11,55,16.4,17.6,0
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,46.7,12.5,28.8,12,0
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,32.6,24.8,20,21.4,1.2
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,34.2,31.5,18.7,14.6,1
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,9.7,67.8,10,12.3,0.1
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,22.2,26.3,23.2,25.3,3.1
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,33.6,14.3,25.6,26.1,0.3
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,11.2,50.5,18.8,17.9,1.7
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,20.2,24.7,28.7,26.3,0.1
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,31.2,20.7,32.6,15.2,0.3
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,22.2,27.8,22.7,27.1,0.1
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,28.3,25.3,29.1,17.1,0.2
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,19.4,29.9,22.8,23.7,4.2
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,23.2,27.6,20.6,28.1,0.6
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,3.8,72.6,11.1,12.1,0.4
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,41.4,13.3,23.9,17.9,3.5
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,11.6,48.8,18.5,20.8,0.3
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,20.7,23.3,24.1,31.7,0.1
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,37.2,13.4,30.5,18.9,0
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,63.5,5.1,15.1,9.6,6.7
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,20.3,27.2,21,31.1,0.4
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,16.5,32.4,20.3,30.6,0.1
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,59.8,6.9,22.1,11.1,0.1
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,37.9,25,20.6,15.3,1.1
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,14.8,43.4,18.9,22.5,0.3
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,28.7,27.8,20.6,21.9,1.1
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,57.6,9,26.1,7.4,0
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,25.6,27.2,24.4,22.6,0.2
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,21.2,30.6,20.2,27.8,0.3
