Category: All categories

Week,self isolation: (Scotland),coronavirus test: (Scotland),loss of smell: (Scotland),dry cough: (Scotland),social distancing: (Scotland)
2019-07-07,0,0,0,3,0
2019-07-14,0,0,1,2,0
2019-07-21,0,0,1,2,0
2019-07-28,0,0,0,1,0
2019-08-04,0,0,1,1,0
2019-08-11,0,0,1,2,0
2019-08-18,0,0,0,1,0
2019-08-25,0,0,1,1,0
2019-09-01,0,0,1,1,0
2019-09-08,0,0,0,2,0
2019-09-15,0,0,0,1,0
2019-09-22,0,0,0,1,0
2019-09-29,0,0,0,2,0
2019-10-06,0,0,0,2,0
2019-10-13,0,0,0,2,0
2019-10-20,0,0,1,4,0
2019-10-27,0,0,1,3,0
2019-11-03,0,0,1,3,0
2019-11-10,0,0,0,1,0
2019-11-17,0,0,1,3,0
2019-11-24,0,0,1,4,0
2019-12-01,1,0,1,2,0
2019-12-08,0,0,0,1,0
2019-12-15,0,0,0,3,0
2019-12-22,0,0,0,4,0
2019-12-29,0,0,0,4,0
2020-01-05,0,0,1,3,0
2020-01-12,0,0,0,2,0
2020-01-19,0,2,1,2,0
2020-01-26,0,1,0,2,0
2020-02-02,1,0,0,4,0
2020-02-09,0,1,0,3,0
2020-02-16,0,2,1,2,0
2020-02-23,2,5,0,3,0
2020-03-01,4,14,0,3,1
2020-03-08,24,38,0,16,3
2020-03-15,100,56,3,26,48
2020-03-22,69,50,8,17,39
2020-03-29,31,31,6,8,23
2020-04-05,14,21,2,9,19
2020-04-12,8,17,2,4,19
2020-04-19,6,35,2,3,24
2020-04-26,4,26,1,5,22
2020-05-03,3,23,1,2,15
2020-05-10,3,22,1,1,20
2020-05-17,3,26,3,1,18
2020-05-24,4,18,1,1,21
2020-05-31,2,20,1,2,19
2020-06-07,3,14,<1,1,17
2020-06-14,2,12,1,1,20
2020-06-21,2,15,<1,2,19
2020-06-28,3,12,0,3,11
