"Data for weekly deaths (occurrences)1, by local authority, location and cause, 2020",,,,,,,,,
,,,,,,,,,
Week of occurrence,Council,Location of death,Cause of Death,deaths,,,,,
,,,,,,,,,
01,Aberdeen City,Care Home,Non-COVID-19,10,,,,,
01,Aberdeen City,Home / Non-institution,Non-COVID-19,15,,,,,
01,Aberdeen City,Hospital,Non-COVID-19,20,,,,,
01,Aberdeenshire,Care Home,Non-COVID-19,17,,,,,
01,Aberdeenshire,Home / Non-institution,Non-COVID-19,12,,,,,
01,Aberdeenshire,Hospital,Non-COVID-19,24,,,,,
01,Angus,Care Home,Non-COVID-19,4,,,,,
01,Angus,Home / Non-institution,Non-COVID-19,14,,,,,
01,Angus,Hospital,Non-COVID-19,10,,,,,
01,Argyll and Bute,Home / Non-institution,Non-COVID-19,8,,,,,
01,Argyll and Bute,Hospital,Non-COVID-19,12,,,,,
01,City of Edinburgh,Care Home,Non-COVID-19,30,,,,,
01,City of Edinburgh,Home / Non-institution,Non-COVID-19,18,,,,,
01,City of Edinburgh,Hospital,Non-COVID-19,44,,,,,
01,Clackmannanshire,Care Home,Non-COVID-19,1,,,,,
01,Clackmannanshire,Home / Non-institution,Non-COVID-19,6,,,,,
01,Clackmannanshire,Hospital,Non-COVID-19,2,,,,,
01,Dumfries and Galloway,Care Home,Non-COVID-19,10,,,,,
01,Dumfries and Galloway,Home / Non-institution,Non-COVID-19,11,,,,,
01,Dumfries and Galloway,Hospital,Non-COVID-19,23,,,,,
01,Dundee City,Care Home,Non-COVID-19,13,,,,,
01,Dundee City,Home / Non-institution,Non-COVID-19,16,,,,,
01,Dundee City,Hospital,Non-COVID-19,20,,,,,
01,East Ayrshire,Care Home,Non-COVID-19,6,,,,,
01,East Ayrshire,Home / Non-institution,Non-COVID-19,8,,,,,
01,East Ayrshire,Hospital,Non-COVID-19,11,,,,,
01,East Dunbartonshire,Care Home,Non-COVID-19,6,,,,,
01,East Dunbartonshire,Home / Non-institution,Non-COVID-19,6,,,,,
01,East Dunbartonshire,Hospital,Non-COVID-19,12,,,,,
01,East Lothian,Care Home,Non-COVID-19,5,,,,,
01,East Lothian,Home / Non-institution,Non-COVID-19,6,,,,,
01,East Lothian,Hospital,Non-COVID-19,11,,,,,
01,East Renfrewshire,Care Home,Non-COVID-19,4,,,,,
01,East Renfrewshire,Home / Non-institution,Non-COVID-19,2,,,,,
01,East Renfrewshire,Hospital,Non-COVID-19,9,,,,,
01,Falkirk,Care Home,Non-COVID-19,6,,,,,
01,Falkirk,Home / Non-institution,Non-COVID-19,18,,,,,
01,Falkirk,Hospital,Non-COVID-19,28,,,,,
01,Fife,Care Home,Non-COVID-19,16,,,,,
01,Fife,Home / Non-institution,Non-COVID-19,24,,,,,
01,Fife,Hospital,Non-COVID-19,39,,,,,
01,Glasgow City,Care Home,Non-COVID-19,34,,,,,
01,Glasgow City,Home / Non-institution,Non-COVID-19,34,,,,,
01,Glasgow City,Hospital,Non-COVID-19,78,,,,,
01,Glasgow City,Other institution,Non-COVID-19,1,,,,,
01,Highland,Care Home,Non-COVID-19,13,,,,,
01,Highland,Home / Non-institution,Non-COVID-19,18,,,,,
01,Highland,Hospital,Non-COVID-19,24,,,,,
01,Inverclyde,Care Home,Non-COVID-19,2,,,,,
01,Inverclyde,Home / Non-institution,Non-COVID-19,8,,,,,
01,Inverclyde,Hospital,Non-COVID-19,13,,,,,
01,Midlothian,Care Home,Non-COVID-19,6,,,,,
01,Midlothian,Home / Non-institution,Non-COVID-19,4,,,,,
01,Midlothian,Hospital,Non-COVID-19,9,,,,,
01,Moray,Care Home,Non-COVID-19,7,,,,,
01,Moray,Home / Non-institution,Non-COVID-19,6,,,,,
01,Moray,Hospital,Non-COVID-19,6,,,,,
01,Na h-Eileanan Siar,Care Home,Non-COVID-19,6,,,,,
01,Na h-Eileanan Siar,Home / Non-institution,Non-COVID-19,2,,,,,
01,Na h-Eileanan Siar,Hospital,Non-COVID-19,4,,,,,
01,North Ayrshire,Care Home,Non-COVID-19,2,,,,,
01,North Ayrshire,Home / Non-institution,Non-COVID-19,9,,,,,
01,North Ayrshire,Hospital,Non-COVID-19,25,,,,,
01,North Lanarkshire,Care Home,Non-COVID-19,13,,,,,
01,North Lanarkshire,Home / Non-institution,Non-COVID-19,23,,,,,
01,North Lanarkshire,Hospital,Non-COVID-19,47,,,,,
01,North Lanarkshire,Other institution,Non-COVID-19,1,,,,,
01,Orkney Islands,Home / Non-institution,Non-COVID-19,2,,,,,
01,Perth and Kinross,Care Home,Non-COVID-19,12,,,,,
01,Perth and Kinross,Home / Non-institution,Non-COVID-19,11,,,,,
01,Perth and Kinross,Hospital,Non-COVID-19,21,,,,,
01,Perth and Kinross,Other institution,Non-COVID-19,2,,,,,
01,Renfrewshire,Care Home,Non-COVID-19,13,,,,,
01,Renfrewshire,Home / Non-institution,Non-COVID-19,8,,,,,
01,Renfrewshire,Hospital,Non-COVID-19,20,,,,,
01,Scottish Borders,Care Home,Non-COVID-19,9,,,,,
01,Scottish Borders,Home / Non-institution,Non-COVID-19,6,,,,,
01,Scottish Borders,Hospital,Non-COVID-19,11,,,,,
01,Scottish Borders,Other institution,Non-COVID-19,2,,,,,
01,Shetland Islands,Care Home,Non-COVID-19,4,,,,,
01,Shetland Islands,Home / Non-institution,Non-COVID-19,1,,,,,
01,Shetland Islands,Hospital,Non-COVID-19,2,,,,,
01,South Ayrshire,Care Home,Non-COVID-19,15,,,,,
01,South Ayrshire,Home / Non-institution,Non-COVID-19,7,,,,,
01,South Ayrshire,Hospital,Non-COVID-19,12,,,,,
01,South Lanarkshire,Care Home,Non-COVID-19,20,,,,,
01,South Lanarkshire,Home / Non-institution,Non-COVID-19,29,,,,,
01,South Lanarkshire,Hospital,Non-COVID-19,46,,,,,
01,Stirling,Care Home,Non-COVID-19,3,,,,,
01,Stirling,Home / Non-institution,Non-COVID-19,2,,,,,
01,Stirling,Hospital,Non-COVID-19,10,,,,,
01,West Dunbartonshire,Care Home,Non-COVID-19,9,,,,,
01,West Dunbartonshire,Home / Non-institution,Non-COVID-19,7,,,,,
01,West Dunbartonshire,Hospital,Non-COVID-19,11,,,,,
01,West Lothian,Care Home,Non-COVID-19,6,,,,,
01,West Lothian,Home / Non-institution,Non-COVID-19,13,,,,,
01,West Lothian,Hospital,Non-COVID-19,18,,,,,
02,Aberdeen City,Care Home,Non-COVID-19,12,,,,,
02,Aberdeen City,Home / Non-institution,Non-COVID-19,16,,,,,
02,Aberdeen City,Hospital,Non-COVID-19,22,,,,,
02,Aberdeenshire,Care Home,Non-COVID-19,9,,,,,
02,Aberdeenshire,Home / Non-institution,Non-COVID-19,23,,,,,
02,Aberdeenshire,Hospital,Non-COVID-19,34,,,,,
02,Angus,Care Home,Non-COVID-19,14,,,,,
02,Angus,Home / Non-institution,Non-COVID-19,9,,,,,
02,Angus,Hospital,Non-COVID-19,5,,,,,
02,Argyll and Bute,Care Home,Non-COVID-19,4,,,,,
02,Argyll and Bute,Home / Non-institution,Non-COVID-19,14,,,,,
02,Argyll and Bute,Hospital,Non-COVID-19,15,,,,,
02,City of Edinburgh,Care Home,Non-COVID-19,34,,,,,
02,City of Edinburgh,Home / Non-institution,Non-COVID-19,17,,,,,
02,City of Edinburgh,Hospital,Non-COVID-19,28,,,,,
02,Clackmannanshire,Care Home,Non-COVID-19,3,,,,,
02,Clackmannanshire,Home / Non-institution,Non-COVID-19,5,,,,,
02,Clackmannanshire,Hospital,Non-COVID-19,8,,,,,
02,Dumfries and Galloway,Care Home,Non-COVID-19,5,,,,,
02,Dumfries and Galloway,Home / Non-institution,Non-COVID-19,10,,,,,
02,Dumfries and Galloway,Hospital,Non-COVID-19,28,,,,,
02,Dundee City,Care Home,Non-COVID-19,9,,,,,
02,Dundee City,Home / Non-institution,Non-COVID-19,6,,,,,
02,Dundee City,Hospital,Non-COVID-19,24,,,,,
02,East Ayrshire,Care Home,Non-COVID-19,7,,,,,
02,East Ayrshire,Home / Non-institution,Non-COVID-19,7,,,,,
02,East Ayrshire,Hospital,Non-COVID-19,26,,,,,
02,East Dunbartonshire,Care Home,Non-COVID-19,4,,,,,
02,East Dunbartonshire,Home / Non-institution,Non-COVID-19,7,,,,,
02,East Dunbartonshire,Hospital,Non-COVID-19,16,,,,,
02,East Lothian,Care Home,Non-COVID-19,8,,,,,
02,East Lothian,Home / Non-institution,Non-COVID-19,7,,,,,
02,East Lothian,Hospital,Non-COVID-19,12,,,,,
02,East Renfrewshire,Care Home,Non-COVID-19,3,,,,,
02,East Renfrewshire,Home / Non-institution,Non-COVID-19,8,,,,,
02,East Renfrewshire,Hospital,Non-COVID-19,17,,,,,
02,Falkirk,Care Home,Non-COVID-19,7,,,,,
02,Falkirk,Home / Non-institution,Non-COVID-19,12,,,,,
02,Falkirk,Hospital,Non-COVID-19,16,,,,,
02,Fife,Care Home,Non-COVID-19,16,,,,,
02,Fife,Home / Non-institution,Non-COVID-19,24,,,,,
02,Fife,Hospital,Non-COVID-19,47,,,,,
02,Glasgow City,Care Home,Non-COVID-19,18,,,,,
02,Glasgow City,Home / Non-institution,Non-COVID-19,49,,,,,
02,Glasgow City,Hospital,Non-COVID-19,59,,,,,
02,Glasgow City,Other institution,Non-COVID-19,1,,,,,
02,Highland,Care Home,Non-COVID-19,26,,,,,
02,Highland,Home / Non-institution,Non-COVID-19,9,,,,,
02,Highland,Hospital,Non-COVID-19,24,,,,,
02,Inverclyde,Care Home,Non-COVID-19,5,,,,,
02,Inverclyde,Home / Non-institution,Non-COVID-19,6,,,,,
02,Inverclyde,Hospital,Non-COVID-19,12,,,,,
02,Midlothian,Care Home,Non-COVID-19,6,,,,,
02,Midlothian,Home / Non-institution,Non-COVID-19,5,,,,,
02,Midlothian,Hospital,Non-COVID-19,6,,,,,
02,Moray,Care Home,Non-COVID-19,4,,,,,
02,Moray,Home / Non-institution,Non-COVID-19,5,,,,,
02,Moray,Hospital,Non-COVID-19,15,,,,,
02,Na h-Eileanan Siar,Home / Non-institution,Non-COVID-19,2,,,,,
02,Na h-Eileanan Siar,Hospital,Non-COVID-19,5,,,,,
02,North Ayrshire,Care Home,Non-COVID-19,6,,,,,
02,North Ayrshire,Home / Non-institution,Non-COVID-19,10,,,,,
02,North Ayrshire,Hospital,Non-COVID-19,26,,,,,
02,North Lanarkshire,Care Home,Non-COVID-19,18,,,,,
02,North Lanarkshire,Home / Non-institution,Non-COVID-19,40,,,,,
02,North Lanarkshire,Hospital,Non-COVID-19,33,,,,,
02,Orkney Islands,Care Home,Non-COVID-19,1,,,,,
02,Orkney Islands,Home / Non-institution,Non-COVID-19,4,,,,,
02,Perth and Kinross,Care Home,Non-COVID-19,9,,,,,
02,Perth and Kinross,Home / Non-institution,Non-COVID-19,11,,,,,
02,Perth and Kinross,Hospital,Non-COVID-19,17,,,,,
02,Renfrewshire,Care Home,Non-COVID-19,14,,,,,
02,Renfrewshire,Home / Non-institution,Non-COVID-19,13,,,,,
02,Renfrewshire,Hospital,Non-COVID-19,21,,,,,
02,Scottish Borders,Care Home,Non-COVID-19,8,,,,,
02,Scottish Borders,Home / Non-institution,Non-COVID-19,6,,,,,
02,Scottish Borders,Hospital,Non-COVID-19,17,,,,,
02,Scottish Borders,Other institution,Non-COVID-19,1,,,,,
02,Shetland Islands,Home / Non-institution,Non-COVID-19,1,,,,,
02,Shetland Islands,Hospital,Non-COVID-19,1,,,,,
02,South Ayrshire,Care Home,Non-COVID-19,14,,,,,
02,South Ayrshire,Home / Non-institution,Non-COVID-19,10,,,,,
02,South Ayrshire,Hospital,Non-COVID-19,19,,,,,
02,South Lanarkshire,Care Home,Non-COVID-19,16,,,,,
02,South Lanarkshire,Home / Non-institution,Non-COVID-19,22,,,,,
02,South Lanarkshire,Hospital,Non-COVID-19,32,,,,,
02,Stirling,Care Home,Non-COVID-19,4,,,,,
02,Stirling,Home / Non-institution,Non-COVID-19,3,,,,,
02,Stirling,Hospital,Non-COVID-19,6,,,,,
02,West Dunbartonshire,Care Home,Non-COVID-19,6,,,,,
02,West Dunbartonshire,Home / Non-institution,Non-COVID-19,6,,,,,
02,West Dunbartonshire,Hospital,Non-COVID-19,9,,,,,
02,West Lothian,Care Home,Non-COVID-19,5,,,,,
02,West Lothian,Home / Non-institution,Non-COVID-19,13,,,,,
02,West Lothian,Hospital,Non-COVID-19,15,,,,,
03,Aberdeen City,Care Home,Non-COVID-19,10,,,,,
03,Aberdeen City,Home / Non-institution,Non-COVID-19,7,,,,,
03,Aberdeen City,Hospital,Non-COVID-19,27,,,,,
03,Aberdeenshire,Care Home,Non-COVID-19,11,,,,,
03,Aberdeenshire,Home / Non-institution,Non-COVID-19,6,,,,,
03,Aberdeenshire,Hospital,Non-COVID-19,36,,,,,
03,Angus,Care Home,Non-COVID-19,4,,,,,
03,Angus,Home / Non-institution,Non-COVID-19,7,,,,,
03,Angus,Hospital,Non-COVID-19,10,,,,,
03,Argyll and Bute,Care Home,Non-COVID-19,6,,,,,
03,Argyll and Bute,Home / Non-institution,Non-COVID-19,14,,,,,
03,Argyll and Bute,Hospital,Non-COVID-19,14,,,,,
03,City of Edinburgh,Care Home,Non-COVID-19,16,,,,,
03,City of Edinburgh,Home / Non-institution,Non-COVID-19,27,,,,,
03,City of Edinburgh,Hospital,Non-COVID-19,39,,,,,
03,Clackmannanshire,Care Home,Non-COVID-19,8,,,,,
03,Clackmannanshire,Home / Non-institution,Non-COVID-19,3,,,,,
03,Clackmannanshire,Hospital,Non-COVID-19,6,,,,,
03,Dumfries and Galloway,Care Home,Non-COVID-19,5,,,,,
03,Dumfries and Galloway,Home / Non-institution,Non-COVID-19,10,,,,,
03,Dumfries and Galloway,Hospital,Non-COVID-19,23,,,,,
03,Dundee City,Care Home,Non-COVID-19,9,,,,,
03,Dundee City,Home / Non-institution,Non-COVID-19,9,,,,,
03,Dundee City,Hospital,Non-COVID-19,23,,,,,
03,East Ayrshire,Care Home,Non-COVID-19,5,,,,,
03,East Ayrshire,Home / Non-institution,Non-COVID-19,8,,,,,
03,East Ayrshire,Hospital,Non-COVID-19,18,,,,,
03,East Dunbartonshire,Care Home,Non-COVID-19,8,,,,,
03,East Dunbartonshire,Home / Non-institution,Non-COVID-19,5,,,,,
03,East Dunbartonshire,Hospital,Non-COVID-19,8,,,,,
03,East Lothian,Care Home,Non-COVID-19,7,,,,,
03,East Lothian,Home / Non-institution,Non-COVID-19,9,,,,,
03,East Lothian,Hospital,Non-COVID-19,9,,,,,
03,East Renfrewshire,Care Home,Non-COVID-19,6,,,,,
03,East Renfrewshire,Home / Non-institution,Non-COVID-19,2,,,,,
03,East Renfrewshire,Hospital,Non-COVID-19,11,,,,,
03,Falkirk,Care Home,Non-COVID-19,12,,,,,
03,Falkirk,Home / Non-institution,Non-COVID-19,5,,,,,
03,Falkirk,Hospital,Non-COVID-19,16,,,,,
03,Fife,Care Home,Non-COVID-19,17,,,,,
03,Fife,Home / Non-institution,Non-COVID-19,25,,,,,
03,Fife,Hospital,Non-COVID-19,40,,,,,
03,Glasgow City,Care Home,Non-COVID-19,31,,,,,
03,Glasgow City,Home / Non-institution,Non-COVID-19,23,,,,,
03,Glasgow City,Hospital,Non-COVID-19,70,,,,,
03,Glasgow City,Other institution,Non-COVID-19,1,,,,,
03,Highland,Care Home,Non-COVID-19,10,,,,,
03,Highland,Home / Non-institution,Non-COVID-19,19,,,,,
03,Highland,Hospital,Non-COVID-19,26,,,,,
03,Inverclyde,Care Home,Non-COVID-19,5,,,,,
03,Inverclyde,Home / Non-institution,Non-COVID-19,7,,,,,
03,Inverclyde,Hospital,Non-COVID-19,6,,,,,
03,Midlothian,Care Home,Non-COVID-19,2,,,,,
03,Midlothian,Home / Non-institution,Non-COVID-19,2,,,,,
03,Midlothian,Hospital,Non-COVID-19,6,,,,,
03,Moray,Care Home,Non-COVID-19,1,,,,,
